"play_key","run_dist","OF_dist","run_speed","top_speed","OF_momentum_home","OF_momentum_side","score_chance","safe_out","go_safe_out","scoring_from","baserunners","next_baserunners","go_runners","stay_runners","outs","go_safe","go_out","stay","go_safe_RE","go_out_RE","stay_RE","prob_to_go","glm_safe","went_home","should_go","correct_decision","glm_go","safe_min_go","team","RE_diff"
"y1_d053_APZ_QEA_227",85.6451332,315.7710064,25.89982769,27.48435562,4.885470014,10.84878109,1,1,1,1,"1__","_2_","_2_","_23",1,"1 _2_","2 _2_","1 _23",1.425230807,0.176488184,0.923807468,0.598457417,0.998223370895336,1,1,1,0.999713644951855,-0.00149027405651936,"APZ",0.499204786511744
"y1_d054_APZ_QEA_163",168.0418472,335.17705,26.41714179,26.94013999,-29.05003582,0.2839425,1,1,1,1,"12_","_2_","_2_","_23",1,"1 _2_","2 _2_","1 _23",1.425230807,0.176488184,0.923807468,0.598457417,0.167723607754115,1,0,0,0.01086190991201,0.156861697842105,"APZ",-0.537875666114103
"y1_d055_APZ_QEA_114",169.9548123,235.2257749,24.51740132,27.87591723,20.64281498,1.47552714,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.000103672181368416,0,0,1,1.51423077069871e-06,0.000102157950597717,"QEA",-0.697140510128306
"y1_d055_APZ_QEA_199",112.8825637,333.6892202,27.20673827,28.3617086,0.821166881,7.611389331,1,1,1,1,"12_","__3","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.97987295780481,1,1,1,0.992923600504617,-0.0130506426998068,"QEA",0.513125995880146
"y1_d001_CGA_QEA_41",178.0815663,309.1142793,24.38753692,29.09729117,1.112036375,21.21365654,-1,NA,0,1,"12_","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00712007217909776,0,0,1,0.000456181657692435,0.00666389052140533,NA,-0.688378832391124
"y1_d001_CGA_QEA_108",131.8667285,351.4199894,26.52077171,29.16594428,-3.074556257,5.725604054,1,1,1,1,"123","__3","__3","_23",0,"0 __3","1 __3","0 _23",1.922201531,0.462671577,1.65,0.813500552,0.907274543229988,1,1,1,0.966349200416385,-0.0590746571863974,"CGA",0.136865949345835
"y1_d002_CGA_QEA_92",171.9337128,309.7801691,6.17689556,26.84902312,-5.87825937,6.97213397,-1,NA,0,1,"12_","_23","__3","_23",2,"2 __3","3 __3","2 _23",1.183888889,0,0.633655395,0.535232149,0.00104464120383679,0,0,1,3.24492081729109e-05,0.00101219199566388,"QEA",-0.632418655885786
"y1_d004_CGA_QEA_32",161.833072,354.376694,25.89603463,27.70724088,-4.249203656,16.51351392,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.288076916138364,0,0,1,0.0809934776961778,0.207083438442186,NA,-0.371530805829833
"y1_d004_CGA_QEA_160",129.8076839,350.3208229,25.23543113,30.18256023,4.737286068,15.35843935,1,1,1,1,"12_","_2_","_2_","_23",1,"1 _2_","2 _2_","1 _23",1.425230807,0.176488184,0.923807468,0.598457417,0.915084625315029,1,1,1,0.97772288364257,-0.0626382583275408,NA,0.395385891282862
"y1_d088_CRQ_QEA_125",171.5703032,229.3310969,21.10501258,27.12235334,20.70871416,7.093938973,-1,NA,0,1,"1__","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,5.62316678086211e-05,0,0,1,4.07098046223919e-07,5.58245697623972e-05,"QEA",-0.541593077107256
"y1_d088_CRQ_QEA_231",123.793671,302.3814931,25.12377099,29.25603522,-0.051850284,6.840399385,-1,NA,0,1,"123","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.749361536483434,0,1,0,0.779046698999928,-0.029685162516494,"CRQ",0.218351980908096
"y1_d088_CRQ_QEA_271",112.5254247,387.3870816,27.395568,28.03242607,-3.744543614,4.44277539,1,1,1,1,"1__","_2_","_2_","_23",2,"2 _2_","3 _2_","2 _23",1.176488184,0,0.633655395,0.53859903,0.997863421468117,1,1,1,0.999714780143635,-0.00185135867551756,"CRQ",0.540319129603052
"y1_d089_CRQ_QEA_50",139.6514572,359.0066051,23.97553601,26.75370602,1.074232321,0.511823448,0.9,1,1,1,"1__","_2_","_2_","_23",1,"1 _2_","2 _2_","1 _23",1.425230807,0.176488184,0.923807468,0.598457417,0.640294847331211,1,1,1,0.516165172625266,0.124129674705945,NA,0.0522441831497615
"y1_d089_CRQ_QEA_220",119.5719766,383.1552165,24.71596398,25.78225356,-1.763706171,1.602872154,1,1,1,1,"1__","_2_","_2_","_23",2,"2 _2_","3 _2_","2 _23",1.176488184,0,0.633655395,0.53859903,0.987183929526417,1,1,1,0.992603375474851,-0.00541944594843413,"CRQ",0.527754833522518
"y1_d079_FBP_QEA_89",124.0381611,383.1674685,27.43103464,29.60182529,-5.954723811,10.92724612,1,1,1,1,"1__","_2_","_2_","_23",2,"2 _2_","3 _2_","2 _23",1.176488184,0,0.633655395,0.53859903,0.993986680484071,1,1,1,0.999152339821192,-0.00516565933712132,"QEA",0.535758189642893
"y1_d080_FBP_QEA_23",139.3626939,232.183777,27.57526412,30.33205271,15.18535497,14.45376192,-1,NA,0,1,"1__","1_3","_2_","1_3",0,"0 _2_","1 _2_","0 1_3",1.809125376,0.425230807,1.490364348,0.769663792,0.0211476198530444,0,0,1,0.00580011718023205,0.0153475026728123,"FBP",-1.0358674647381
"y1_d080_FBP_QEA_111",120.2356553,196.5503677,24.77184,27.67275539,11.76843676,1.713210614,-1,NA,0,1,"1__","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.0233410274449048,0,0,1,0.00155801477592361,0.0217830126689812,"FBP",-0.51419879000865
"y1_d080_FBP_QEA_290",173.3688208,239.5612926,24.72822495,28.67839224,14.35284438,1.530871364,-1,NA,0,1,"1__","1_3","_2_","1_3",0,"0 _2_","1 _2_","0 1_3",1.809125376,0.425230807,1.490364348,0.769663792,0.000130575058716212,0,0,1,3.13291227344852e-06,0.000127442146442764,"FBP",-1.0649528388854
"y1_d081_FBP_QEA_68",96.76222014,247.7812214,26.77185393,29.69923423,11.09062531,7.193401615,1,1,1,1,"12_","_2_","_2_","_23",2,"2 _2_","3 _2_","2 _23",1.176488184,0,0.633655395,0.53859903,0.871778992964886,1,1,1,0.932168172485718,-0.0603891795208323,"FBP",0.391982289282607
"y1_d082_FBP_QEA_42",152.7913933,188.0650195,25.62990054,29.07248141,13.48812232,4.642581018,-1,NA,0,1,"12_","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.000348375142326443,0,0,1,7.23783755365523e-06,0.000341137304772788,"FBP",-0.739473082899063
"y1_d082_FBP_QEA_75",171.7517565,224.076631,22.13988802,27.8606047,19.79205522,0.476702126,-1,NA,0,1,"12_","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,3.97964946912709e-05,0,0,1,4.06810858876429e-07,3.93896838323945e-05,NA,-0.697220274420833
"y1_d082_FBP_QEA_114",173.3571897,290.1458262,25.64384374,25.64384374,8.222868104,10.96501189,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00219403368998783,0,0,1,2.75797663674778e-05,0.00216645392362035,"FBP",-0.694530186615014
"y1_d082_FBP_QEA_128",125.0822349,230.5203915,26.78064915,26.95296763,15.96177594,6.843317004,-1,NA,0,1,"1__","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.0557801648939762,0,0,1,0.00473075485197443,0.0510494100420018,"FBP",-0.476034528100665
"y1_d082_FBP_QEA_170",165.6673801,209.1100296,23.55949032,26.79041134,14.58811756,3.102234125,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,8.9303788188235e-05,0,0,1,5.19408319238062e-07,8.87843798689969e-05,"FBP",-0.697158452553294
"y1_d082_FBP_QEA_252",174.5800003,383.1544528,23.20564078,26.7061893,-23.53986228,10.48719353,-1,NA,0,1,"123","_23","__3","_23",2,"2 __3","3 __3","2 _23",1.183888889,0,0.633655395,0.535232149,0.303929979403303,0,0,1,0.0408305592931072,0.263099420110196,"QEA",-0.273836069350431
"y1_d015_IXC_QEA_40",178.5905629,271.0416728,23.88868935,26.80652377,10.60677043,8.459639645,-1,NA,0,1,"12_","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.000343583169743293,0,0,1,3.72923691250949e-06,0.000339853932830784,"IXC",-0.696840923051396
"y1_d060.5_JNJ_QEA_54",166.1229835,253.8228568,26.42949679,28.20382241,21.29741163,1.556618044,-1,NA,0,1,"1_3","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.000430538620792099,0,0,1,1.36694172483014e-05,0.000416869203543798,NA,-0.696732338073369
"y1_d060.5_JNJ_QEA_121",174.7043333,253.6516752,26.7991057,26.7991882,14.27339735,3.97704104,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00025616883106221,0,0,1,2.43547446000944e-06,0.000253733356602201,NA,-0.696950081061969
"y1_d066_OWH_QEA_66",129.251505,300.7998188,25.15779773,25.16808347,4.11622198,13.14203773,-1,NA,0,1,"1__","_23","__3","_23",0,"0 __3","1 __3","0 _23",1.922201531,0.462671577,1.65,0.813500552,0.546115721312055,0,0,1,0.189594207600196,0.356521513711859,"QEA",-0.390256169394739
"y1_d068_OWH_QEA_7",134.2492029,230.3982188,24.84732113,27.21775553,8.301307291,5.309073936,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.0220211628079477,0,0,1,0.00133443360775622,0.0206867292001915,"OWH",-0.711758297231567
"y1_d068_OWH_QEA_31",58.59433866,319.0986551,23.88484034,28.45321775,-6.060812336,3.636948961,1,1,1,1,"1__","_2_","_2_","_23",2,"2 _2_","3 _2_","2 _23",1.176488184,0,0.633655395,0.53859903,0.999956130554742,1,1,1,0.999998805943665,-4.26753889228859e-05,"OWH",0.542781177116016
"y1_d068_OWH_QEA_44",105.6633196,258.5082827,26.01116403,27.67785816,14.43053079,4.285124231,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.649770049643975,0,1,0,0.566675512340184,0.0830945373037906,"QEA",0.0909961116656154
"y1_d016_OXG_QEA_47",120.1447507,387.8529147,25.96272332,28.50933344,-4.689126825,2.095799154,1,1,1,1,"1_3","_2_","_2_","_23",1,"1 _2_","2 _2_","1 _23",1.425230807,0.176488184,0.923807468,0.598457417,0.993173413146653,1,1,1,0.998981649846562,-0.00580823669990826,NA,0.492898689026614
"y1_d016_OXG_QEA_77",141.0006844,263.2821127,24.13589506,27.43339212,4.899137371,8.407008187,-1,NA,0,1,"12_","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.0445475193900372,0,0,1,0.00352415899794114,0.0410233603920961,"OXG",-0.48924960281111
"y1_d016_OXG_QEA_111",150.2482865,255.7236082,25.19393587,26.02647318,4.607897518,3.279961534,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00881237800511524,0,0,1,0.000209770178431376,0.00860260782668387,NA,-0.686265577975025
"y1_d016_OXG_QEA_119",150.8976873,280.1889026,25.37204849,29.28588261,11.18242354,7.991646378,0,0,0,1,"1_3","___","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.0206975239943344,1,0,0,0.00392083406081987,0.0167766899335145,"OXG",-0.671424089597709
"y1_d016_OXG_QEA_204",158.3752272,282.7561548,21.26159514,25.35015863,3.90859034,13.30811004,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00932980942641024,0,0,1,0.000189165738128556,0.00914064368828169,NA,-0.685619439304774
"y1_d018_OXG_QEA_63",155.0290997,263.9738514,25.17284526,26.3416999,7.757887695,10.79302609,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00810138173025753,0,0,1,0.000211908146831365,0.00788947358342616,"QEA",-0.687153429328234
"y1_d018_OXG_QEA_92",163.5769945,312.0767444,22.87209888,23.29826549,-1.526082893,9.461548482,-1,NA,0,1,"12_","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.019140364511334,0,0,1,0.000209189717158026,0.018931174794176,"OXG",-0.673368581014941
"y1_d018_OXG_QEA_99",168.9873514,257.5774821,27.45530649,28.16054574,15.53423654,3.13139599,-1,NA,0,1,"12_","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.000630992006170813,0,0,1,1.46301603247454e-05,0.000616361845846067,"OXG",-0.540916878360542
"y1_d018_OXG_QEA_131",115.8427755,186.5737966,21.02100832,26.46739005,8.22575081,0.490782694,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.0192473337388624,0,0,1,0.000839765123135297,0.0184075686157271,"OXG",-0.673235003981177
"y1_d019_OXG_QEA_319",112.0090544,344.9395845,25.78731609,25.81643699,-2.73929154,2.248909243,1,1,1,1,"12_","__3","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.983163657104984,1,1,1,0.985764648837375,-0.00260099173239114,NA,0.517334085176622
"y1_d056_OXG_QEA_27",134.8601846,217.1678277,26.11367083,27.44228354,13.48750307,2.377733318,-1,NA,0,1,"1__","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.00889440838432496,0,0,1,0.000383280217808448,0.00851112816651651,"OXG",-0.531195066632171
"y1_d056_OXG_QEA_42",162.9224618,280.8269014,26.12971041,27.30233704,14.51305819,11.71170127,-1,NA,0,1,"1__","_23","__3","_23",0,"0 __3","1 __3","0 _23",1.922201531,0.462671577,1.65,0.813500552,0.00453834619795869,0,0,1,0.000272300369153914,0.00426604582880478,"QEA",-1.18070457078246
"y1_d056_OXG_QEA_64",107.5812577,378.4560488,24.72621959,25.76580136,-10.01455161,4.786057557,1,1,1,1,"1__","__3","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.998354654885497,1,1,1,0.999418519080114,-0.00106386419461679,"OXG",0.536760070151788
"y1_d056_OXG_QEA_256",120.5234161,244.3384324,26.71903704,27.425579,17.00639319,3.947946596,-1,NA,0,1,"1__","1_3","_2_","1_3",0,"0 _2_","1 _2_","0 1_3",1.809125376,0.425230807,1.490364348,0.769663792,0.12719961653051,0,0,1,0.0388281102150318,0.0883715063154782,"QEA",-0.889102682504545
"y1_d057_OXG_QEA_21",140.1231461,386.4741088,25.63570221,26.63847785,-6.434137851,3.916549935,1,1,1,1,"1_3","_2_","_2_","_23",2,"2 _2_","3 _2_","2 _23",1.176488184,0,0.633655395,0.53859903,0.92193476352682,1,1,1,0.908660940013184,0.0132738235136365,"OXG",0.450989960708138
"y1_d057_OXG_QEA_82",169.8560598,220.5015798,18.36829673,28.18714283,6.152873312,5.381613618,-1,NA,0,1,"1__","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,9.02754968080578e-05,0,0,1,7.97289476519562e-07,8.94782073315382e-05,"QEA",-0.541553024944701
"y1_d057_OXG_QEA_169",136.7830391,348.6118349,23.83606385,25.09599133,-5.059169136,2.021529334,1,1,1,1,"12_","__3","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.716435619167412,1,1,1,0.372100057297642,0.34433556186977,"OXG",0.176246887857847
"y1_d057_OXG_QEA_245",95.89598939,297.7402952,23.95635952,26.27264056,-8.567741866,1.000676967,1,1,1,1,"1__","__3","__3","_23",2,"2 __3","3 __3","2 _23",1.183888889,0,0.633655395,0.535232149,0.98793705891425,1,1,1,0.988744994181615,-0.000807935267365778,"OXG",0.535952312079919
"y1_d057_OXG_QEA_261",93.98829779,346.1367801,23.98059662,25.26631118,3.442140027,8.957580249,1,1,1,1,"1__","__3","__3","_23",2,"2 __3","3 __3","2 _23",1.183888889,0,0.633655395,0.535232149,0.997714299540211,1,1,1,0.999108676203786,-0.00139437666357523,"QEA",0.547527478622074
"y1_d057_OXG_QEA_294",152.3394023,266.3934251,22.96056222,26.29430012,3.354583361,13.16930581,-1,NA,0,1,"123","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.0142775403862791,0,0,1,0.000369167813178627,0.0139083725731004,"OXG",-0.52486187543896
"y1_d057_OXG_QEA_299",130.145871,317.9338909,23.71650548,23.73604545,-4.261832016,7.095411844,-1,NA,0,1,"12_","_23","__3","_23",2,"2 __3","3 __3","2 _23",1.183888889,0,0.633655395,0.535232149,0.671317758693224,0,1,0,0.149841387422416,0.521476371270807,"OXG",0.161110240505291
"y1_d058_OXG_QEA_29",80.95235923,363.3038933,26.46831329,28.35927265,-3.485070004,5.672351688,1,1,1,1,"1__","_2_","_2_","_23",2,"2 _2_","3 _2_","2 _23",1.176488184,0,0.633655395,0.53859903,0.999895425932404,1,1,1,0.999996338421416,-0.000100912489012117,"OXG",0.542709758845121
"y1_d058_OXG_QEA_88",149.068424,344.7052534,26.6857333,28.48904107,-3.20074176,19.13549977,1,1,1,1,"1__","_2_","_2_","_23",2,"2 _2_","3 _2_","2 _23",1.176488184,0,0.633655395,0.53859903,0.634412284321832,1,1,1,0.452874919826027,0.181537364495806,"OXG",0.112723161289084
"y1_d031_REC_QEA_24",135.0565752,265.9714418,23.985031,24.65370188,9.164624143,0.018366343,-1,NA,0,1,"12_","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.0426692678124622,0,0,1,0.00178992522981411,0.040879342582648,NA,-0.685353858011788
"y1_d031_REC_QEA_63",72.32457639,217.2913938,22.35841237,25.47694346,13.65268889,8.536876025,1,1,1,1,"1__","__3","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.950229255557904,1,1,1,0.9236600957878,0.0265691597701049,NA,0.475218142638576
"y1_d031_REC_QEA_214",127.8054334,369.7205816,23.43831525,24.75999302,1.023360968,10.86614354,1,1,1,1,"12_","__3","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.946447724933457,1,1,1,0.90862162228857,0.0378261026448865,NA,0.470382386741891
"y1_d031_REC_QEA_281",166.7986752,293.2062945,24.13662314,25.64592266,4.002312217,16.84692071,-1,NA,0,1,"1__","1_3","_2_","1_3",1,"1 _2_","2 _2_","1 1_3",1.425230807,0.176488184,0.873758154,0.558377649,0.00845277935050388,0,0,1,0.000154184713491219,0.00829859463701266,NA,-0.686714624142212
"y1_d032_REC_QEA_216",141.3081963,285.9706843,25.01057221,25.09073038,4.929922574,10.98079128,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.108366498726296,0,0,1,0.00609754002849496,0.102268958697801,NA,-0.601341376469638
"y1_d033_REC_QEA_53",83.22813609,309.2774879,24.03075973,26.34276989,-5.127772215,1.462829419,1,1,1,1,"1__","__3","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.998095661634422,1,1,1,0.999400720018331,-0.00130505838390882,NA,0.536428874066005
"y1_d033_REC_QEA_89",114.7510007,261.3857629,23.46722158,25.80599065,11.11944134,9.531071287,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.414958724484408,0,0,1,0.117318153325982,0.297640571158426,NA,-0.209276545894778
"y1_d048_STK_QEA_63",146.6699078,312.0386766,25.79739428,27.5550518,7.128995577,8.661140479,-1,NA,0,1,"12_","_23","__3","_23",0,"0 __3","1 __3","0 _23",1.922201531,0.462671577,1.65,0.813500552,0.139188131099211,0,0,1,0.046002719577419,0.0931854115217924,"STK",-0.984179176419422
"y1_d048_STK_QEA_118",156.7755031,325.0948527,27.96040511,27.96123918,-2.775493675,7.817222229,-1,NA,0,1,"12_","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.157140363867495,0,0,1,0.0311052695134798,0.126035094354015,"STK",-0.538970202100227
"y1_d048_STK_QEA_157",154.0227977,326.6309239,26.721281,26.721281,-1.053312212,1.635665291,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.12550222633405,0,0,1,0.0172693771276563,0.108232849206394,"STK",-0.579428504658559
"y1_d049_STK_QEA_131",168.6746283,314.5955969,26.08970573,26.08970573,5.675743916,11.51671641,-1,NA,0,1,"1__","1_3","_2_","1_3",2,"2 _2_","3 _2_","2 1_3",1.176488184,0,0.541659233,0.460403462,0.0133593364275019,0,0,1,0.000388034848914587,0.0129713015785874,"STK",-0.525942131546963
"y1_d049_STK_QEA_209",142.9996079,340.6930098,25.83898885,28.96625933,-0.609292507,0.606774786,-1,NA,0,1,"12_","_23","__3","_23",2,"2 __3","3 __3","2 _23",1.183888889,0,0.633655395,0.535232149,0.47997725712115,0,0,1,0.425569578710862,0.0544076784102874,"STK",-0.0654156533215747
"y1_d050.5_STK_QEA_159",94.98982078,156.7631346,24.07727871,25.08165395,10.11825857,3.03001779,-1,NA,0,1,"12_","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.107698198911846,0,0,1,0.00458569774186581,0.10311250116998,NA,-0.602195986702751
"y1_d050.5_STK_QEA_187",122.5359518,308.6342994,24.50260727,25.40508174,1.410633522,2.391496909,-1,NA,0,1,"1__","_23","__3","_23",1,"1 __3","2 __3","1 _23",1.462671577,0.183888889,0.923807468,0.578611664,0.70595018725832,0,1,0,0.385150233910231,0.320799953348089,NA,0.162838299056298
"y1_d050.5_STK_QEA_219",110.4878388,257.6753949,22.20353279,23.48336425,5.758244984,5.269524311,-1,NA,0,1,"12_","_23","__3","_23",0,"0 __3","1 __3","0 _23",1.922201531,0.462671577,1.65,0.813500552,0.475675034068736,0,0,1,0.0835495251861848,0.392125508882551,"STK",-0.49306646240671
"y1_d050_STK_QEA_7",147.420774,290.0303008,26.92648405,28.82828381,9.725873308,11.2720088,-1,NA,0,1,"1__","1_3","_2_","1_3",0,"0 _2_","1 _2_","0 1_3",1.809125376,0.425230807,1.490364348,0.769663792,0.0697943726941764,0,0,1,0.0220478959548651,0.0477464767393113,"STK",-0.968545487681767
"y1_d050_STK_QEA_145",103.8297862,375.2420724,26.77985834,26.80668143,-4.767204493,4.262823595,1,1,1,1,"123","__3","__3","_23",0,"0 __3","1 __3","0 _23",1.922201531,0.462671577,1.65,0.813500552,0.99876496186489,1,1,1,0.999840647824664,-0.00107568595977392,"QEA",0.270398955847475
